Common.Name,Code,Group
White-tipped Dove,WTDO,subtropical_forests
White-winged Crossbill,WWCR,boreal_forests
White-winged Dove,WWDO,aridlands
White-winged Scoter,WWSC,waterbirds
Whooping Crane,WHCR,waterbirds
Wild Turkey,WITU,generalists
Willet,WILL,coastal
Willet,WILL,waterbirds
Williamson's Sapsucker,WISA,western_forests
Willow Flycatcher,WIFL,western_forests
Willow Ptarmigan,WIPT,arctic
Wilson's Phalarope,WIPH,marshlands
Wilson's Plover,WIPL,coastal
Wilson's Snipe,WISN,marshlands
Wilson's Warbler,WIWA,western_forests
Winter Wren,WIWR,eastern_forests
Wood Duck,WODU,waterbirds
Wood Stork,WOST,marshlands
Wood Thrush,WOTH,eastern_forests
Woodhouse's Scrub-Jay,WOSJ,western_forests
Worm-eating Warbler,WEWA,eastern_forests
Wrentit,WREN,aridlands
Yellow Rail,YERA,marshlands
Yellow Warbler,YEWA,boreal_forests
Yellow-bellied Flycatcher,YBFL,boreal_forests
Yellow-bellied Sapsucker,YBSA,eastern_forests
Yellow-billed Cuckoo,YBCU,eastern_forests
Yellow-billed Loon,YBLO,waterbirds
Yellow-billed Magpie,YBMA,western_forests
Yellow-breasted Chat,YBCH,eastern_forests
Yellow-crowned Night-Heron,YCNH,marshlands
Yellow-eyed Junco,YEJU,subtropical_forests
Yellow-footed Gull,YFGU,coastal
Yellow-headed Blackbird,YHBL,marshlands
Yellow-rumped Warbler,YRWA,boreal_forests
Yellow-throated Vireo,YTVI,eastern_forests
Yellow-throated Warbler,YTWA,eastern_forests
Zone-tailed Hawk,ZTHA,western_forests
